Code,CityName,CountryCode,StateCode,MetroCode,AssociatedAirports,AirportName,IsRail,Region1,Region2,Region3,Region4,Region5,Latitude,Longitude,
AAA,Anaa,PF,,,AAA,Anaa Arpt,N,,,,,,-17.3526001,-145.5099945,
AAB,Arrabury,AU,QLD,,AAB,Arrabury Airport,N,International,Pac-North,Australia,Australia,APAC,-26.693023,141.047771,
AAC,El Arish,EG,,,AAC,Al Arish International,N,,,,,,31.07329941,33.83580017,
AAD,ADADO,SO,,,AAD,Adado Airport,N,,,,,,6.095802,46.6375,
AAE,Annaba,DZ,,,AAE,Les Salines Arpt,N,,,,,,36.822201,7.809174,
AAF,Apalachicola,US,FL,,AAF,Apalachicola Municipal Arpt,N,,,,,,29.72750092,-85.02749634,
AAG,Arapoti,BR,PR,,AAG,Avelino Vieira Arpt,N,International,Latin America,South America,South America,South America,-24.10390091,-49.78910065,
AAH,Aachen,DE,,,AAH  AAW  XHJ,Aachen Merzbruck Arpt,N,,,,,,50.82305527,6.186388969,
AAK,Aranuka,KI,,,AAK,Aranuka Airport,N,,,,,,0.185277998,173.6369934,
AAL,Aalborg,DK,,,AAL  ZTG,Aalborg Arpt,N,International,EMEA,Atlantic,Europe,EMEA,57.09275891,9.849243164,
AAM,Mala Mala,ZA,,,AAM,Mala Mala Arpt,N,,,,,,-24.81809998,31.54459953,
AAN,Al Ain,AE,,,AAN  ZVH,Al Ain Arpt,N,International,EMEA,Middle East,Asia,EMEA,24.26169968,55.60919952,
QAJ,Ajman City,AE,,,,,N,,,,,,,,
AAQ,Anapa,RU,,,AAQ,Anapa Arpt,N,,,,,,45.0021019,37.34730148,
AAR,Aarhus,DK,,,AAR  AJH  ZID  ZJH,Tirstrup Arpt,N,International,EMEA,Atlantic,Europe,EMEA,56.29999924,10.61900043,
AAT,Altay,CN,,,AAT,Altay Arpt,N,,,,,,47.74988556,88.0858078,
AAU,Asau,WS,,,AAU,Asau Airport,N,,,,,,-13.505132,-172.627888,
AAX,Araxa,BR,MG,,AAX,Araxa Airport,N,,,,,,-19.5632,-46.96039963,
AAY,Al Ghaydah,YE,,,AAY,Al Ghaydah Arpt,N,,,,,,16.19169998,52.17499924,
AAZ,Quetzaltenango,GT,,,AAZ,Quetzaltenango Arpt,N,,,,,,14.8656,-91.501999,
ABA,Abakan,RU,,,ABA,Abakan Arpt,N,International,EMEA,Asia,Europe,Russia,53.74000168,91.38500214,
ABB,Asaba,NG,,,ABB,Asaba International Arpt,N,,,,,,6.204167,6.665278,
ABC,Albacete,ES,,,ABC  EEM  XJJ,Albacete Arpt,N,,,,,,38.94850159,-1.863520026,
ABD,Abadan,IR,,,ABD,Abadan Arpt,N,,,,,,30.37109947,48.22829819,
ABE,Allentown,US,PA,,ABE,Lehigh Valley Intl Arpt,N,North America,North America,North America,North America,North America,40.65209961,-75.44080353,
ARZ,N Zeto,AO,,,,,N,,,,,,-7.259439945,12.86310005,
CAB,Cabinda,AO,,,,,N,,,,,,-5.596990108,12.18840027,
ABI,Abilene,US,TX,,ABI  DYS,Abilene Municipal Arpt,N,North America,North America,North America,North America,North America,32.41130066,-99.68190002,
ABJ,Abidjan,CI,,,ABJ,Felix Houphouet Boigny Arpt,N,,,,,,5.261390209,-3.926290035,
CEO,Waco Kungo,AO,,,,,N,,,,,,-11.42640018,15.10140038,
ABL,Ambler,US,AK,,ABL,Ambler Arpt,N,North America,North America,North America,North America,North America,67.1063,-157.856989,
ABM,Bamaga,AU,QLD,,ABM,Bamaga Arpt,N,,,,,,-10.9508,142.459,
ABQ,Albuquerque,US,NM,,ABQ,Albuquerque Intl Sunport,N,North America,North America,North America,North America,North America,35.040199,-106.609001,
ABR,Aberdeen,US,SD,,ABR,Aberdeen Regional Arpt,N,North America,North America,North America,North America,North America,45.44910049,-98.42179871,
ABS,Abu Simbel,EG,,,ABS,Abu Simbel Arpt,N,,,,,,22.37599945,31.61170006,
ABT,Al Baha,SA,,,ABT,Al Aqiq,N,,,,,,20.29610062,41.63430023,
DUE,Dundo,AO,,,,,N,,,,,,-7.400889874,20.81850052,
