ID,CityCode,CityName,Country,StateID,AirportName,IsRail,Source,Region1,Region2,Region3,Region4,Region5,Latitude,Longitude,ValidFrom,ValidTo
1,ZMH,108 Mile,496,770,South Cariboo Region / 108 Mile Airport,1,NULL,NULL,NULL,NULL,NULL,NULL,51.73609924,-121.3330002,NULL,NULL
2,YWD,3Rd Pty Gh Vie,NULL,NULL,3Rd Pty Gh Vie,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,XNR,Aabenraa,518,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,AAH,Aachen,516,NULL,Aachen Merzbruck Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,50.82305527,6.186388969,NULL,NULL
5,ZIU,Aachen,516,NULL,Railway,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,AAL,Aalborg,518,NULL,Aalborg Arpt,0,NULL,889,891,898,909,916,57.09275891,9.849243164,NULL,NULL
7,AES,Aalesund,626,NULL,Vigra Airport,0,NULL,889,891,898,909,916,62.5625,6.119699955,NULL,NULL
8,QFA,Aalsmeer,625,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,AOQ,Aappilattoq,543,NULL,Aappilattoq Heliport,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,QUV,Aappilattoq Nanortalik,543,NULL,Aappilattoq Nanortalik Heliport,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,ZDA,AARAU,501,NULL,Aarau Rail Station,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,AAR,Aarhus,518,NULL,Tirstrup Arpt,0,NULL,889,891,898,909,916,56.29999924,10.61900043,NULL,NULL
13,ZBU,Aarhus Limo,518,NULL,Aarhus Limo,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,JEG,Aasiaat,543,NULL,Aasiaat Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,68.72180176,-52.78469849,NULL,NULL
15,AHJ,Aba Hongyuan,506,NULL,Aba Hongyuan Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,32.53154,102.35224,NULL,NULL
16,WKR,Abaco I Walker C Airport,490,NULL,Abaco I Walker C Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,27.26670074,-78.39969635,NULL,NULL
17,ABD,Abadan,567,NULL,Abadan Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,30.37109947,48.22829819,NULL,NULL
18,ABF,Abaiang,577,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1.798609972,173.0410004,NULL,NULL
19,ABA,Abakan,650,NULL,Abakan Arpt,0,NULL,889,891,901,909,921,53.74000168,91.38500214,NULL,NULL
20,ABW,Abau,635,NULL,Abau,0,NULL,NULL,NULL,NULL,NULL,NULL,-10.1956,148.7389,NULL,NULL
21,XAB,Abbeville,534,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,50.143501,1.831891,NULL,NULL
22,YXX,Abbotsford,496,770,Abbotsford Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,49.02529907,-122.3610001,NULL,NULL
23,EAB,Abbs,705,NULL,Abbs Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,16.010833,43.176667,NULL,NULL
24,AEH,Abecher,674,NULL,Abecher,0,NULL,NULL,NULL,NULL,NULL,NULL,13.84700012,20.84429932,NULL,NULL
25,AEA,Abemama,577,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0.490833014,173.8289948,NULL,NULL
26,OGO,Abengourou,502,NULL,Abengourou,0,NULL,NULL,NULL,NULL,NULL,NULL,6.715559959,-3.470279932,NULL,NULL
27,ABR,Aberdeen,692,862,Aberdeen Regional Arpt,0,NULL,888,890,897,908,915,45.44910049,-98.42179871,NULL,NULL
28,ABZ,Aberdeen,536,NULL,Dyce Airport,0,NULL,889,891,898,909,916,57.20190048,-2.197779894,NULL,NULL
29,APG,Aberdeen,692,840,Phillips Army Air Field,0,NULL,888,890,897,908,915,39.466202,-76.1688,NULL,NULL
30,AHB,Abha,652,NULL,Abha Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,18.24040031,42.65660095,NULL,NULL
31,ABJ,Abidjan,502,NULL,Felix Houphouet Boigny Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,5.261390209,-3.926290035,NULL,NULL
32,ABI,Abilene,692,864,Abilene Municipal Arpt,0,NULL,888,890,897,908,915,32.41130066,-99.68190002,NULL,NULL
33,VJI,Abingdon,692,866,Virginia Highlands Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,36.68709946,-82.03330231,NULL,NULL
34,ABG,Abingdon,471,NULL,Abingdon,0,NULL,NULL,NULL,NULL,NULL,NULL,-17.61669922,143.1670074,NULL,NULL
35,ABO,Aboisso,502,NULL,Aboisso,0,NULL,889,891,902,912,916,5.461944,-3.234722,NULL,NULL
36,AOD,Abou Deia,674,NULL,Abou Deia,0,NULL,NULL,NULL,NULL,NULL,NULL,11.4773,19.2874,NULL,NULL
37,AUH,Abu Dhabi,459,NULL,Dhabi Intl Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,24.43300056,54.65110016,NULL,NULL
38,ZVJ,Abu Dhabi City,459,NULL,Abu Dhabi Bus Station,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,AEU,Abu Musa,567,NULL,Abu Musa,0,NULL,NULL,NULL,NULL,NULL,NULL,25.8757,55.03300095,NULL,NULL
40,AUE,Abu Rudeis,524,NULL,Aguan,0,NULL,NULL,NULL,NULL,NULL,NULL,28.89900017,33.20249939,NULL,NULL
41,ABS,Abu Simbel,524,NULL,Abu Simbel Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,22.37599945,31.61170006,NULL,NULL
42,ABV,Abuja,623,NULL,Abuja Intl,0,NULL,NULL,NULL,NULL,NULL,NULL,9.006790161,7.263169765,NULL,NULL
43,ACD,Acandi,507,NULL,Aeropuerto Alcides Fernandez,0,NULL,889,892,900,910,918,8.51667,-77.3,NULL,NULL
44,ACA,Acapulco,616,NULL,Alvarez Intl Arpt,0,NULL,889,892,899,908,917,16.75709915,-99.7539978,NULL,NULL
45,ARF,Acaricuara,507,NULL,Acaricuara,0,NULL,889,892,900,910,918,0.533333,-70.133333,NULL,NULL
46,AGV,Acarigua,697,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,9.553375244,-69.23786926,NULL,NULL
47,ACC,Accra,541,NULL,Kotoka Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,5.6051898,-0.166786,NULL,NULL
48,ACS,Achinsk,650,NULL,Achinsk,0,NULL,NULL,NULL,NULL,NULL,NULL,56.2682991,90.57080078,NULL,NULL
49,ACU,Achutupo,632,NULL,Achutupo,0,NULL,NULL,NULL,NULL,NULL,NULL,8.431659698,-77.96520233,NULL,NULL
50,ADT,Ada OK,692,856,Ada Municipal Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,34.804298,-96.671303,NULL,NULL
51,AAD,ADADO,665,NULL,Adado Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,6.095802,46.6375,NULL,NULL
52,ADK,Adak Island,692,819,Adak Island Ns,0,NULL,888,890,897,908,915,51.87799835,-176.6459961,NULL,NULL
53,AIP,Adampur,564,NULL,Adampur Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,31.4338,75.758797,NULL,NULL
54,ADA,Adana,684,NULL,Adana Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,36.98220062,35.28039932,NULL,NULL
55,ADD,Addis Ababa,528,NULL,Bole Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,8.977890015,38.79930115,NULL,NULL
56,ADL,Adelaide,471,737,Adelaide Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,-34.945,138.531006,NULL,NULL
57,ZDB,Adelboden,501,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,ADE,Aden,705,NULL,Yemen Intl Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,12.8295002,45.02880096,NULL,NULL
